Date,Open,High,Low,Close,Volume
2022-07-21,971.2849,981.5189,958.0659,978.6287,4935223
2022-07-22,985.4988,989.0048,960.1506,974.7909,2985409
2022-07-25,974.9805,974.9805,955.4127,963.941,2888919
2022-07-26,961.8088,982.8928,942.0515,946.9789,5939871
2022-07-27,947.595,957.0236,940.0142,954.8441,2546052
2022-07-28,967.684,988.7679,962.188,983.6036,3428026
2022-07-29,999.7127,1012.0314,989.3839,993.6955,6185909
2022-08-01,1003.4556,1003.4556,983.4141,994.5956,2540084
2022-08-02,991.1844,994.501,976.0228,978.4866,2802273
2022-08-03,973.6064,1001.6079,971.0005,997.4858,3509019
2022-08-04,1007.2935,1016.4851,981.8979,1000.7078,5360632
2022-08-05,1004.4507,1011.984,995.4011,1002.7449,2641829
2022-08-08,1000.6602,1009.0464,994.0745,1001.2288,2579239
2022-08-10,1000.6603,1003.6453,988.389,999.9022,2823021
2022-08-11,1015.8218,1036.5742,1014.1161,1020.7967,3201408
2022-08-12,1017.0537,1019.9913,1006.3459,1010.0415,1771561
2022-08-16,1019.6122,1023.3551,1001.1815,1021.223,2222701
2022-08-17,1016.2957,1048.893,1016.0114,1046.6188,4280823
2022-08-18,1042.3545,1051.0723,1031.0781,1047.2346,3041422
2022-08-19,1051.8305,1075.5204,1042.3546,1046.2871,4577717
2022-08-22,1038.5642,1042.3545,1018.9016,1022.1707,2157609
2022-08-23,1006.3459,1014.0214,992.1319,1010.0415,2875768
2022-08-24,1010.1363,1017.1485,999.8075,1014.8268,2180800
2022-08-25,1023.4026,1032.5469,1009.7099,1014.4952,2734931
2022-08-26,1026.2453,1040.0329,1024.3501,1028.6617,2624896
2022-08-29,991.1844,992.7005,963.9884,981.282,6118233
2022-08-30,993.0796,1023.8764,987.6783,1019.707,4453769
2022-09-01,1000.6602,1009.1886,988.4362,997.7227,6112823
2022-09-02,1002.745,1010.6101,992.1794,1001.0394,1645341
2022-09-05,1000.6603,1014.6848,999.5232,1009.2361,1677079
2022-09-06,1009.2361,1014.8742,995.259,1007.9567,3051076
2022-09-07,996.8699,1005.3983,989.2892,1000.5181,2615897
2022-09-08,1013.9266,1035.6265,1011.1785,1032.4994,2634786
2022-09-09,1044.8656,1073.0092,1029.325,1067.6079,3394349
2022-09-12,1080.2583,1103.9482,1080.2109,1089.829,5230075
2022-09-13,1095.4197,1103.4269,1083.1957,1087.3177,2483685
2022-09-14,1053.7256,1063.0594,1037.6165,1056.2841,5179539
2022-09-15,1061.5907,1065.3811,1021.5074,1026.2454,3392174
2022-09-16,1009.1887,1017.6696,974.1277,979.0551,6635089
2022-09-19,981.7084,996.7277,969.4844,985.025,2485826
2022-09-20,998.7651,1009.8519,994.9747,1000.8024,2321528
2022-09-21,992.3214,1011.0364,992.1319,1004.5928,2760138
2022-09-22,994.9747,1015.8218,987.6309,993.4586,3867282
2022-09-23,983.6036,994.88,968.4421,980.8555,3230711
